DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,AÑOOCU,DEPOCU,MUPOCU,EDADHOM,EDADMUJ,PUEHOM,PUEMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,CIUOHOM,CIUOMUJ
13.0,1301,1.0,2023.0,17.0,1.0,2023.0,13.0,1301,43.0,51.0,4.0,1.0,320.0,320.0,5.0,5.0,01,22
1.0,0101,3.0,2023.0,7.0,2.0,2023.0,1.0,0101,999.0,53.0,9.0,4.0,320.0,320.0,9.0,5.0,01,23
1.0,0101,5.0,2023.0,10.0,4.0,2023.0,1.0,0101,41.0,33.0,4.0,4.0,320.0,320.0,5.0,4.0,01,23
3.0,0309,7.0,2023.0,22.0,5.0,2023.0,4.0,0406,39.0,36.0,1.0,4.0,320.0,320.0,5.0,5.0,01,26
17.0,1712,8.0,2023.0,26.0,5.0,2023.0,17.0,1708,30.0,34.0,4.0,4.0,320.0,320.0,4.0,5.0,01,26
1.0,0101,9.0,2023.0,23.0,8.0,2023.0,1.0,0101,32.0,30.0,4.0,4.0,320.0,320.0,4.0,5.0,01,26
1.0,0101,12.0,2023.0,22.0,11.0,2023.0,1.0,0101,999.0,999.0,9.0,9.0,320.0,320.0,9.0,9.0,01,23
3.0,0301,6.0,2024.0,19.0,10.0,2023.0,1.0,0101,999.0,999.0,9.0,9.0,320.0,320.0,9.0,9.0,01,23
2.0,0201,3.0,2023.0,6.0,3.0,2023.0,1.0,0101,999.0,999.0,9.0,9.0,320.0,320.0,1.0,9.0,03,23
1.0,0101,3.0,2023.0,22.0,2.0,2023.0,20.0,2004,999.0,999.0,9.0,9.0,320.0,320.0,9.0,9.0,03,23
12.0,1201,11.0,2023.0,25.0,8.0,2023.0,12.0,1201,33.0,35.0,4.0,4.0,320.0,320.0,4.0,5.0,03,26
1.0,0101,3.0,2023.0,23.0,2.0,2023.0,1.0,0101,34.0,26.0,4.0,4.0,320.0,320.0,4.0,4.0,01,43
15.0,1501,5.0,2023.0,20.0,3.0,2023.0,15.0,1507,30.0,31.0,4.0,4.0,320.0,320.0,5.0,4.0,01,43
1.0,0101,5.0,2023.0,24.0,4.0,2023.0,19.0,1901,58.0,50.0,4.0,4.0,320.0,320.0,9.0,9.0,01,41
1.0,0116,8.0,2023.0,13.0,7.0,2023.0,1.0,0108,999.0,999.0,9.0,9.0,320.0,320.0,9.0,9.0,01,43
1.0,0101,8.0,2023.0,17.0,3.0,2023.0,1.0,0101,999.0,999.0,9.0,9.0,320.0,320.0,9.0,9.0,03,41
1.0,0101,7.0,2023.0,21.0,6.0,2023.0,1.0,0101,41.0,30.0,4.0,4.0,320.0,320.0,5.0,3.0,01,97
1.0,0101,8.0,2023.0,4.0,8.0,2023.0,1.0,0101,29.0,25.0,4.0,9.0,320.0,840.0,4.0,4.0,01,97
